53.144 -27.7804  
53.1695 -27.7805  
53.1538 -27.781  
53.1696 -27.793  
53.1682 -27.8006  
53.1565 -27.7672  
53.1773 -27.7824  
53.171 -27.7877  
53.1605 -27.7978  
53.1594 -27.7824  
53.1598 -27.77  
53.1545 -27.7789  
53.1417 -27.7807  
53.1827 -27.7753  
53.1773 -27.7921  
53.1681 -27.7963  
53.1655 -27.7726  
53.1528 -27.8019  
53.1545 -27.8026  
53.1767 -27.7734  
53.143 -27.7865  
53.1612 -27.7632  
53.1767 -27.7705  
53.1708 -27.7893  
53.1766 -27.7734  
53.1797 -27.7746  
53.138 -27.7818  
53.1619 -27.7983  
53.1638 -27.7717  
53.1806 -27.7737  
53.1795 -27.7734  
53.1617 -27.7853  
53.1784 -27.7807  
53.1787 -27.7762  
53.1862 -27.779  
53.168 -27.8007  
53.1551 -27.8017  
53.1864 -27.7791  
53.1767 -27.7819  
53.1641 -27.7844  
53.163 -27.7804  
53.1393 -27.7833  
53.1647 -27.7882  
53.1795 -27.7744  
53.1575 -27.7667  
53.1632 -27.7625  
53.1567 -27.767  
53.1589 -27.765  
